create EgoNets       a) assign IDs        b) find triangles    c) cluster EgoNet    d) compact EgoNet    e) EgoNet subsets    f) EgoNet subsetCnt  g) clean up          split Personas       connect Personas     Persona Clustering   create Cover         
0.058678             0.0                  0.009246             0.040485             0.001273             0.001742             0.001021             0.0                  9.8e-05              0.002258             0.004215             0.000387             
0.061391             1e-06                0.009682             0.042451             0.001362             0.001848             0.001039             0.0                  6.6e-05              0.00215              0.004747             0.000394             
0.05667              0.0                  0.008742             0.039074             0.001288             0.001714             0.001022             0.0                  8.2e-05              0.002377             0.004032             0.000401             
0.062903             1e-06                0.009796             0.043497             0.001456             0.001946             0.001061             0.0                  6.9e-05              0.002194             0.004833             0.000401             
0.057688             1e-06                0.009009             0.039831             0.001273             0.001723             0.001048             0.0                  6.2e-05              0.002098             0.004878             0.000375             
0.063065             3e-06                0.009877             0.043778             0.001408             0.001892             0.001025             0.0                  7.2e-05              0.002159             0.004031             0.000387             
0.057955             0.0                  0.009156             0.040259             0.001295             0.001733             0.000923             0.0                  6.2e-05              0.002125             0.004594             0.000403             
0.058905             2e-06                0.009263             0.040585             0.001311             0.001813             0.001016             0.0                  6.5e-05              0.002138             0.004034             0.000382             
0.062683             1e-06                0.009624             0.043694             0.001435             0.001835             0.001032             0.0                  6.1e-05              0.002109             0.004438             0.000431             
0.028774             1e-06                0.003363             0.018524             0.000717             0.000571             0.000488             0.0                  6.3e-05              0.001011             0.002327             0.000509             
0.030154             0.0                  0.003449             0.019367             0.001054             0.000603             0.000903             0.0                  4.4e-05              0.000825             0.002026             0.000503             
0.028136             0.0                  0.003184             0.018022             0.000849             0.000475             0.000694             0.0                  3.6e-05              0.000739             0.002083             0.000491             
0.028603             0.0                  0.003232             0.01849              0.00067              0.000544             0.00052              0.0                  5.5e-05              0.001018             0.002804             0.000481             
0.027244             6e-06                0.002999             0.017439             0.000681             0.000494             0.000519             0.0                  6.3e-05              0.00096              0.002185             0.000521             
0.027776             0.0                  0.003243             0.017816             0.000581             0.000531             0.000414             0.0                  5.4e-05              0.000933             0.001998             0.0005               
0.027108             1e-06                0.003042             0.017245             0.000663             0.000523             0.000477             0.0                  6e-05                0.000948             0.002978             0.000503             
